,neighborhood,title,price,bedrooms,pid,longitude,subregion,link,latitude,sqft,month,day,year,blockfips,countyfips,countyname,price_sqft,price_sqft_cat
55,mission district,Just a few blocks from the heart of The Mission - FULLY-FURNISHED,2600.0,1.0,4033313840,-122.41748700000001,SF,/sfc/apa/4033313840.html,37.765183,746.0,Sep,18,2013,60750177002038,6075,San Francisco,3.485254691689008,4
56,SOMA / south beach,Deserve To Live Your Best At Channel Mission Bay!,3249.0,,4076466331,-122.389948,SF,/sfc/apa/4076466331.html,37.773953999999996,549.0,Sep,18,2013,60750607001028,6075,San Francisco,5.918032786885246,4
58,lower pac hts,Large Court Yard View Studio Oct. 18th ,2942.0,,4076457950,-122.43563200000001,SF,/sfc/apa/4076457950.html,37.785012,600.0,Sep,18,2013,60750155002002,6075,San Francisco,4.903333333333333,4
60,SOMA / south beach,1 Bedroom with hardwood floors!,2990.0,1.0,4076385313,-122.39305,SF,/sfc/apa/4076385313.html,37.777138,778.0,Sep,18,2013,60750607001005,6075,San Francisco,3.8431876606683804,4
63,western addition,Newly remodeled Apartment With Large Balcony! Avail. Now!,2725.0,1.0,4075415345,-122.432681,SF,/sfc/apa/4075415345.html,37.78317,699.0,Sep,18,2013,60750159002006,6075,San Francisco,3.8984263233190273,4
65,western addition,View! View! View! Renovated Penthouse with Balcony and Fireplace.,2899.0,1.0,4075406688,-122.432681,SF,/sfc/apa/4075406688.html,37.78317,660.0,Sep,18,2013,60750159002006,6075,San Francisco,4.392424242424243,4
70,SOMA / south beach,Parkside Setting!,3249.0,1.0,4074264820,-122.39666899999999,SF,/sfc/apa/4074264820.html,37.773167,740.0,Sep,17,2013,60750607001036,6075,San Francisco,4.390540540540541,4
72,sunset / parkside,2 Bedroom Sunset Lower Unit (Open House 9/21 2-3pm),2500.0,2.0,4074252612,-122.491615,SF,/sfc/apa/4074252612.html,37.740133,810.0,Sep,17,2013,60750330006006,6075,San Francisco,3.0864197530864197,3
75,north beach / telegraph hill,Light Filled/Remodeled Studio,2350.0,,4074249278,-122.40705700000001,SF,/sfc/apa/4074249278.html,37.802617,456.0,Sep,17,2013,60750104003012,6075,San Francisco,5.1535087719298245,4
79,inner sunset / UCSF,Avalon Sunset Towers Luxurious Living & Close To Shopping and Dining,2720.0,1.0,4076149983,-122.462864,SF,/sfc/apa/4076149983.html,37.75954,665.0,Sep,18,2013,60750301021008,6075,San Francisco,4.090225563909774,4
82,inner sunset / UCSF,Rentals In SF / Mid-century modern home with panoramic ocean views!,3495.0,2.0,4061194018,-122.46848100000001,SF,/sfc/apa/4061194018.html,37.748946000000004,1100.0,Sep,18,2013,60750304003002,6075,San Francisco,3.1772727272727272,3
86,inner richmond,2+BR Upper Unit Flat (California St & 5th Ave) - Close to CPMC & USF,3500.0,2.0,4076121202,-122.446793,SF,/sfc/apa/4076121202.html,37.787262,1300.0,Sep,18,2013,60750154001001,6075,San Francisco,2.6923076923076925,3
89,haight ashbury,Steele Properties Presents: Beautiful Edwardian 4 BD at Haight/Ashbury,5950.0,4.0,4060408468,-122.447027,SF,/sfc/apa/4060408468.html,37.770462,1700.0,Sep,18,2013,60750166004004,6075,San Francisco,3.5,4
94,SOMA / south beach,Open House 9/21 -Bright Urban Live/Work Now Available! - ReLISTO ,3695.0,1.0,4072023556,-122.401518,SF,/sfc/apa/4072023556.html,37.774384999999995,1000.0,Sep,18,2013,60750180002011,6075,San Francisco,3.695,4
97,haight ashbury,San Francisco beautiful condo,2950.0,1.0,4076740690,-122.446774,SF,/sfc/apa/4076740690.html,37.77731,900.0,Sep,18,2013,60750157004004,6075,San Francisco,3.2777777777777777,4
104,SOMA / south beach,Flat off of 9th and Mission w/ Parking Available,2500.0,1.0,4036092405,-122.41471100000001,SF,/sfc/apa/4036092405.html,37.776231,800.0,Sep,18,2013,60750176013007,6075,San Francisco,3.125,3
117,sunset / parkside,Furnished Sunny Remodeled 2BR Ocean House Monthly/LongTerm,3550.0,2.0,4076277651,-122.49618000000001,SF,/sfc/apa/4076277651.html,37.744021000000004,1300.0,Sep,18,2013,60750353001006,6075,San Francisco,2.730769230769231,3
119,SOMA / south beach,AMAZING views!  FANTASTIC finishes! The BEST studio in SF!  COME SEE!,2666.0,,4075329292,-122.41718200000001,SF,/sfc/apa/4075329292.html,37.776286999999996,476.0,Sep,18,2013,60750176014002,6075,San Francisco,5.600840336134453,4
122,bernal heights,"Comfortable 2 bedroom, 1.5 bathroom townhouse with modern layout.",2800.0,2.0,4068117463,-122.41251000000001,SF,/sfc/apa/4068117463.html,37.733936,1048.0,Sep,18,2013,60750254032001,6075,San Francisco,2.6717557251908395,3
128,inner sunset / UCSF,Rentals In SF / HUGE house - 3 bedrooms 3 baths + 3 bonus rooms!,4395.0,3.0,4036558425,-122.47488700000001,SF,/sfc/apa/4036558425.html,37.746827,2154.0,Sep,18,2013,60750304003008,6075,San Francisco,2.0403899721448466,1
129,castro / upper market,Rentals In SF / Updated one bedroom condo with bamboo floors! PICS,3495.0,1.0,4060860020,-122.440168,SF,/sfc/apa/4060860020.html,37.762187,756.0,Sep,18,2013,60750204013001,6075,San Francisco,4.623015873015873,4
130,alamo square / nopa,"PENTHOUSE VIEWS, FABULOUS APARTMENT, GREAT LOCATION, MAKE OFFER",4475.0,1.0,4076106866,-122.439254,SF,/sfc/apa/4076106866.html,37.770025,725.0,Sep,18,2013,60750167003004,6075,San Francisco,6.172413793103448,4
