,saletype,solddate,proptype,address,city,state,zip,price,beds,baths,location,sqft,lotsize,yrbuilt,daysonmkt,pricesqft,hoamonth,status,nextopenstart,nextopenend,url,source,mls,favorite,interested,latitude,longitude,county,fips_code
213,PAST SALE,February-17-2017,Condo/Co-op,1700 Gough St #7,San Francisco,CA,94109.0,570000.0,0.0,1.0,Lower Pacific Height,510.0,,1980.0,16.0,1118.0,345.0,Sold,,,http://www.redfin.com/CA/San-Francisco/1700-Gough-St-94109/unit-7/home/571440,San Francisco MLS,454053,N,Y,37.78932460000001,-122.42525900000001,San Francisco,060750151001001
214,PAST SALE,February-24-2017,Single Family Residential,1117 Hampshire,San Francisco,CA,94110.0,1300000.0,2.0,1.0,Inner Mission,,,,9.0,,,Sold,,,http://www.redfin.com/CA/San-Francisco/1117-Hampshire-St-94110/home/1961041,San Francisco MLS,454066,N,Y,37.753867,-122.407105,San Francisco,060750229031001
215,PAST SALE,February-23-2017,Multi-Family (2-4 Unit),2742-2744 Baker St,San Francisco,CA,94123.0,2050000.0,5.0,2.0,Cow Hollow,3260.0,2495.0,1912.0,10.0,629.0,,Sold,,,http://www.redfin.com/CA/San-Francisco/2742-Baker-St-94123/home/1942567,San Francisco MLS,455132,N,Y,37.7964205,-122.44552649999999,San Francisco,060750128002002
216,PAST SALE,February-27-2017,Single Family Residential,4127 20th St,San Francisco,CA,94114.0,2825000.0,3.0,2.5,Eureka Valley/Dolore,,2850.0,1898.0,6.0,,,Sold,,,http://www.redfin.com/CA/San-Francisco/4127-20th-St-94114/home/712108,San Francisco MLS,453719,N,Y,37.757534,-122.433159,San Francisco,060750206003003
217,PAST SALE,February-27-2017,Multi-Family (2-4 Unit),450 - 452 Plymouth Ave,SAN FRANCISCO,CA,94112.0,1260000.0,6.0,,SAN FRANCISCO,2400.0,2099.0,1961.0,6.0,525.0,,Sold,,,http://www.redfin.com/CA/San-Francisco/450-Plymouth-Ave-94112/home/826935,MLSListings,ML81614694,N,Y,37.714808000000005,-122.45583500000001,San Francisco,060750314002002
218,PAST SALE,February-24-2017,Condo/Co-op,1650 Broadway St #202,San Francisco,CA,94109.0,1888800.0,3.0,2.5,Pacific Heights,1582.0,,2016.0,9.0,1194.0,1044.0,Sold,,,http://www.redfin.com/CA/San-Francisco/1650-Broadway-94109/unit-202/home/110593137,San Francisco MLS,452881,N,Y,37.795913,-122.424471,San Francisco,060750131011000
219,PAST SALE,February-27-2017,Condo/Co-op,2117 Bush St Unit A,San Francisco,CA,94115.0,965000.0,1.0,1.0,Lower Pacific Height,911.0,,1900.0,6.0,1059.0,221.0,Sold,,,http://www.redfin.com/CA/San-Francisco/2117-Bush-St-94115/unit-A/home/22042936,San Francisco MLS,453796,N,Y,37.786854999999996,-122.43249899999999,San Francisco,060750152003004
220,PAST SALE,,Condo/Co-op,0 C A Rd #142,Musselshell,MT,59059.0,447500.0,,,,,,,,,,,,,http://www.redfin.com/MT/Musselshell/0-C-A-Rd-59059/unit-142/home/17231713,,,N,Y,37.721513,-122.47973940000001,San Francisco,060750332011005
221,PAST SALE,February-24-2017,Condo/Co-op,2839 Pierce St #1,San Francisco,CA,94123.0,854000.0,1.0,1.0,Cow Hollow,720.0,,1947.0,9.0,1186.0,232.0,Sold,,,http://www.redfin.com/CA/San-Francisco/2839-Pierce-St-94123/unit-1/home/1366485,San Francisco MLS,454470,N,Y,37.7960134,-122.4392514,San Francisco,060750128001017
222,PAST SALE,February-28-2017,Condo/Co-op,25 Sycamore St,San Francisco,CA,94110.0,1200000.0,2.0,1.0,Inner Mission,1121.0,,1916.0,5.0,1070.0,300.0,Sold,,,http://www.redfin.com/CA/San-Francisco/25-Sycamore-St-94110/home/26773568,San Francisco MLS,454026,N,Y,37.7625486,-122.4200513,San Francisco,060750208001006
