SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,February-16-2017,Multi-Family (2-4 Unit),3708-3710 Sacramento St,San Francisco,CA,94118,2850000,4,2.0,Presidio Heights,2743,2567,1900,17,1039,,Sold,,,http://www.redfin.com/CA/San-Francisco/3710-Sacramento-St-94118/home/1942643,San Francisco MLS,453246,N,Y,37.7874248,-122.4539873
PAST SALE,February-3-2017,Condo/Co-op,2225 23rd St #403,San Francisco,CA,94107,545000,1,1.0,Potrero Hill,458,,1989,30,1190,450,Sold,,,http://www.redfin.com/CA/San-Francisco/2225-23rd-St-94107/unit-403/home/1309651,San Francisco MLS,453554,N,Y,37.7543745,-122.4021556
PAST SALE,February-3-2017,Condo/Co-op,35 Dolores St #107,San Francisco,CA,94103,1540000,2,2.0,Mission Dolores,1163,,2015,30,1324,507,Sold,,,http://www.redfin.com/CA/San-Francisco/35-Dolores-St-94103/unit-107/home/67340010,San Francisco MLS,452942,N,Y,37.7686054,-122.4265343
PAST SALE,February-17-2017,Condo/Co-op,631 Folsom St Unit 6C,San Francisco,CA,94107,1105000,2,2.0,Yerba Buena,1054,,2009,16,1048,794,Sold,,,http://www.redfin.com/CA/San-Francisco/631-Folsom-St-94107/unit-6C/home/21965628,San Francisco MLS,453846,N,Y,37.7848176,-122.3969578
PAST SALE,March-3-2017,Single Family Residential,990 Randolph St,San Francisco,CA,94132,960000,2,1.0,Ingleside Heights,1375,2526,1940,2,698,,Sold,,,http://www.redfin.com/CA/San-Francisco/990-Randolph-St-94132/home/1769585,San Francisco MLS,453821,N,Y,37.7149209,-122.47123
PAST SALE,February-17-2017,Single Family Residential,219 Crescent Ave,San Francisco,CA,94110,1285000,2,2.5,Bernal Heights,1250,2495,,16,1028,,Sold,,,http://www.redfin.com/CA/San-Francisco/219-Crescent-Ave-94110/home/2011617,San Francisco MLS,453511,N,Y,37.735258,-122.419717
PAST SALE,February-28-2017,Single Family Residential,351 Niagara,San Francisco,CA,94112,980000,2,1.0,Outer Mission,1211,,1939,5,809,,Sold,,,http://www.redfin.com/CA/San-Francisco/351-Niagara-Ave-94112/home/2022588,San Francisco MLS,453942,N,Y,37.7190311,-122.4469176
PAST SALE,March-2-2017,Condo/Co-op,2231 15th St,San Francisco,CA,94114,2630000,3,3.0,Duboce Triangle,2142,,1900,3,1228,467,Sold,,,http://www.redfin.com/CA/San-Francisco/2231-15th-St-94114/home/1413093,San Francisco MLS,453759,N,Y,37.7656701,-122.4339853
PAST SALE,February-3-2017,Condo/Co-op,433 Upper Burnett Ave,San Francisco,CA,94131,1322000,2,2.0,Twin Peaks,,,1975,30,,,Sold,,,http://www.redfin.com/CA/San-Francisco/433-Burnett-Ave-94131/Uppr/home/112933722,San Francisco MLS,453780,N,Y,37.755476,-122.443876
PAST SALE,February-9-2017,Single Family Residential,712 Brazil Ave,San Francisco,CA,94112,710000,4,2.0,Excelsior,1350,2500,1900,24,526,,Sold,,,http://www.redfin.com/CA/San-Francisco/712-Brazil-Ave-94112/home/1336367,San Francisco MLS,448727,N,Y,37.7218044,-122.4290802
PAST SALE,February-7-2017,Condo/Co-op,2192 Pacific Ave,San Francisco,CA,94115,1625000,2,2.0,Pacific Heights,1494,,1950,26,1088,467,Sold,,,http://www.redfin.com/CA/San-Francisco/2192-Pacific-Ave-94115/unit-2192/home/1554670,San Francisco MLS,452291,N,Y,37.7939429,-122.4311982
PAST SALE,February-9-2017,Condo/Co-op,809-811 Pierce #809,San Francisco,CA,94117,1350000,3,2.0,Alamo Square,1800,,1894,24,750,,Sold,,,http://www.redfin.com/CA/San-Francisco/811-Pierce-St-94117/unit-809/home/113068771,San Francisco MLS,454491,N,Y,37.7777305,-122.4350874
PAST SALE,February-9-2017,Condo/Co-op,1650 Broadway #602,San Francisco,CA,94109,3725000,3,3.0,Pacific Heights,1943,,2016,24,1917,1129,Sold,,,http://www.redfin.com/CA/San-Francisco/1650-Broadway-94109/unit-602/home/108439763,San Francisco MLS,448402,N,Y,37.795913,-122.424471
PAST SALE,February-28-2017,Condo/Co-op,2200 Pacific Ave Unit 3D,San Francisco,CA,94115,1540000,2,2.0,Pacific Heights,1850,,1962,5,832,1150,Sold,,,http://www.redfin.com/CA/San-Francisco/2200-Pacific-Ave-94115/unit-3D/home/566793,San Francisco MLS,449888,N,Y,37.7939042,-122.4317493
