,neighborhood,title,price,bedrooms,pid,longitude,subregion,link,latitude,sqft,month,day,year,blockfips,countyfips,county_x,tractfips,logrecno,fipsblock,state,county_y,tract,blkgrp,block,arealand,P0010001,H00010001,outlier,view,walk
21,mission district,"Brand New Beautiful 1 Bedroom, 1 Bathroom ",2100.0,1.0,4076879610,-122.439626,SF,/sfc/apa/4076879610.html,37.719284,,Sep,18,2013,060750261001008,06075,San Francisco,06075026100,590821,060750261001008,06,075,026100,1,1008,46089,447,122,False,0,0
22,excelsior / outer mission,10-month sublet Furnished 2 BR Home in Mission Terrace utls. included,2600.0,2.0,4041653284,-122.43985,SF,/sfc/apa/4041653284.html,37.723481,900.0,Sep,18,2013,060750261004001,06075,San Francisco,06075026100,590875,060750261004001,06,075,026100,4,4001,569,1,1,False,0,0
23,inner sunset / UCSF,"Spacious Home, Freshly Painted & New Floors, W& D - Open Fri 5-6pm",2850.0,2.0,4076867759,-122.4836,SF,/sfc/apa/4076867759.html,37.7593,,Sep,18,2013,060750326022007,06075,San Francisco,06075032602,592404,060750326022007,06,075,032602,2,2007,19628,190,77,False,0,0
24,inner sunset / UCSF,$2700- ATTN PRO.1200sf FLAT Bright& Ready,2700.0,2.0,4075715787,-122.4836,SF,/sfc/apa/4075715787.html,37.7593,1200.0,Sep,18,2013,060750326022007,06075,San Francisco,06075032602,592404,060750326022007,06,075,032602,2,2007,19628,190,77,False,0,0
25,sunset / parkside,$1500  Studio  available,1500.0,0.0,4074133552,-122.4836,SF,/sfc/apa/4074133552.html,37.7593,,Sep,17,2013,060750326022007,06075,San Francisco,06075032602,592404,060750326022007,06,075,032602,2,2007,19628,190,77,False,0,0
26,sunset / parkside,Studio appartment availalbe 10/1,1500.0,0.0,4046290962,-122.4836,SF,/sfc/apa/4046290962.html,37.7593,400.0,Sep,18,2013,060750326022007,06075,San Francisco,06075032602,592404,060750326022007,06,075,032602,2,2007,19628,190,77,False,0,0
27,sunset / parkside,"$2300, 2 bedrooms,1400 47 Avenue, Apt3, SF CA 94122",2300.0,2.0,4075988186,-122.4836,SF,/sfc/apa/4075988186.html,37.7593,,Sep,18,2013,060750326022007,06075,San Francisco,06075032602,592404,060750326022007,06,075,032602,2,2007,19628,190,77,False,0,0
28,sunset / parkside,"$2300, 2 bedrooms,1400 47 Avenue, Apt3, SF CA 94122",2300.0,2.0,4075990302,-122.4836,SF,/sfc/apa/4075990302.html,37.7593,,Sep,18,2013,060750326022007,06075,San Francisco,06075032602,592404,060750326022007,06,075,032602,2,2007,19628,190,77,False,0,0
29,russian hill,A wholesome Apartment to suit your demand ,3500.0,2.0,4076794509,-122.4186,SF,/sfc/apa/4076794509.html,37.7917,1054.0,Sep,18,2013,060750111002001,06075,San Francisco,06075011100,586885,060750111002001,06,075,011100,2,2001,15354,525,303,False,0,0
30,lower nob hill,Upscale studio w/several amenities!!,2295.0,0.0,4074569246,-122.4186,SF,/sfc/apa/4074569246.html,37.7917,,Sep,17,2013,060750111002001,06075,San Francisco,06075011100,586885,060750111002001,06,075,011100,2,2001,15354,525,303,False,0,0
31,russian hill,A UNIQUE REDUCED! Spectacular northeast corner condo with views at the,3900.0,1.0,4073398706,-122.4186,SF,/sfc/apa/4073398706.html,37.7917,907.0,Sep,17,2013,060750111002001,06075,San Francisco,06075011100,586885,060750111002001,06,075,011100,2,2001,15354,525,303,False,1,0
32,pacific heights,Sotheby's: Modern Luxury Condo in Pacific Heights - 2br/2ba,4600.0,2.0,4073557238,-122.4186,SF,/sfc/apa/4073557238.html,37.7917,,Sep,17,2013,060750111002001,06075,San Francisco,06075011100,586885,060750111002001,06,075,011100,2,2001,15354,525,303,False,0,0
33,castro / upper market,"Unfurnished Custom Home not a Flat, backyard w/views. Pets Okay.",6100.0,3.0,4050301632,-122.435472,SF,/sfc/apa/4050301632.html,37.765727000000005,,Sep,18,2013,060750169002003,06075,San Francisco,06075016900,588172,060750169002003,06,075,016900,2,2003,17467,173,99,False,1,0
34,castro / upper market,"Furnished Custom Edwardian Home, backyard w/views. Pets Okay.",6495.0,3.0,4050192349,-122.435472,SF,/sfc/apa/4050192349.html,37.765727000000005,,Sep,18,2013,060750169002003,06075,San Francisco,06075016900,588172,060750169002003,06,075,016900,2,2003,17467,173,99,False,1,0
35,pacific heights,"Remodeled, cozy one bedroom in Pacific Heights",2800.0,1.0,4076869885,-122.443753,SF,/sfc/apa/4076869885.html,37.787647,,Sep,18,2013,060750134002006,06075,San Francisco,06075013400,587537,060750134002006,06,075,013400,2,2006,15226,237,147,False,0,0
36,haight ashbury,Sunny top floor 960 sq ft 2 bd,3500.0,2.0,4076867004,-122.445535,SF,/sfc/apa/4076867004.html,37.771142,960.0,Sep,18,2013,060750166004000,06075,San Francisco,06075016600,588063,060750166004000,06,075,016600,4,4000,15008,111,56,False,0,0
37,inner richmond,***OPEN SAT 9/21 12:00pm-2:00pm*** ,2200.0,2.0,4076851460,-122.4614,SF,/sfc/apa/4076851460.html,37.7812,700.0,Sep,18,2013,060750451003000,06075,San Francisco,06075045100,593329,060750451003000,06,075,045100,3,3000,1230,0,0,False,0,0
38,inner richmond,"New 4bd/2Full Ba, Close to Everything, Shops, Muni,Close to Dwntn",4500.0,4.0,4067139945,-122.4614,SF,/sfc/apa/4067139945.html,37.7812,,Sep,17,2013,060750451003000,06075,San Francisco,06075045100,593329,060750451003000,06,075,045100,3,3000,1230,0,0,False,0,0
39,bayview,New remodeled 3 BR/3 BA plus office single family house ,3000.0,3.0,4072178511,-122.391171,SF,/sfc/apa/4072178511.html,37.719829,1476.0,Sep,18,2013,060750234002007,06075,San Francisco,06075023400,589953,060750234002007,06,075,023400,2,2007,16664,222,55,False,0,0
40,richmond / seacliff,CliffHouse Ocean View 3BR/2BA 2 Indoor Parking Available 1st of OCT. ,3600.0,3.0,4059907648,-122.51129499999999,SF,/sfc/apa/4059907648.html,37.775076,1450.0,Sep,18,2013,060750479012006,06075,San Francisco,06075047901,593555,060750479012006,06,075,047901,2,2006,2196,0,0,False,1,0
41,ingleside / SFSU / CCSF,Furnished Luxury Apartment Walking Distance to Whole Foods Market,5200.0,3.0,4076809356,-122.45614499999999,SF,/sfc/apa/4076809356.html,37.722762,1500.0,Sep,18,2013,060750312012003,06075,San Francisco,06075031201,592149,060750312012003,06,075,031201,2,2003,18886,285,83,False,0,1
42,ingleside / SFSU / CCSF,Furnished Luxury Apartment Walking Distance to Whole Foods Market,5200.0,3.0,4068140340,-122.45614499999999,SF,/sfc/apa/4068140340.html,37.722762,1500.0,Sep,18,2013,060750312012003,06075,San Francisco,06075031201,592149,060750312012003,06,075,031201,2,2003,18886,285,83,False,0,1
43,ingleside / SFSU / CCSF,Furnished Luxury Apartment  Walking Distance to Whole Foods Market,5200.0,3.0,4069527772,-122.45614499999999,SF,/sfc/apa/4069527772.html,37.722762,1500.0,Sep,18,2013,060750312012003,06075,San Francisco,06075031201,592149,060750312012003,06,075,031201,2,2003,18886,285,83,False,0,1
44,ingleside / SFSU / CCSF,Furnished Luxury Apartment within Walking Distance to Whole Foods Mark,5200.0,3.0,4075833130,-122.45614499999999,SF,/sfc/apa/4075833130.html,37.722762,1500.0,Sep,18,2013,060750312012003,06075,San Francisco,06075031201,592149,060750312012003,06,075,031201,2,2003,18886,285,83,False,0,1
